Nom,ID,Categorie
Chrome,Google.Chrome,Navigateur
Firefox,Mozilla.Firefox,Navigateur
Opera,Opera.Opera,Navigateur
OperaGX,Opera.OperaGX,Navigateur
Edge,Microsoft.Edge,Navigateur
Vivaldi,Vivaldi.Vivaldi,Navigateur
Teams,Microsoft.Teams,Communications
Discord,Discord.Discord,Communications
TeamSpeak,TeamSpeakSystems.TeamSpeakClient,Communications
Nextcloud Talk,Nextcloud.Talk,Communications
Outlook,Microsoft.Outlook,Mail
Thunderbird,Mozilla.Thunderbird,Mail
Betterbird,Mozilla.Thunderbird,Mail
Plex,Plex.Plex,Media
VLC,VideoLAN.VLC,Media
Spotify,Spotify.Spotify,Media
Deezer,Deezer.Deezer,Media
OBSStudio,OBSProject.OBSStudio,Media
LibreOffice,TheDocumentFoundation.LibreOffice,Documents
OnlyOffice,ONLYOFFICE.DesktopEditors,Documents
Steam,Valve.Steam,Jeux
Epic Games,EpicGames.EpicGamesLauncher,Jeux
GOG Galaxy,GOG.Galaxy,Jeux
Ubisoft Connect,Ubisoft.Connect,Jeux
EA App,ElectronicArts.EADesktop,Jeux
NVIDIA GEFORCE NOW,Nvidia.GeForceNow,Jeux
FACEIT Client,FACEITLTD.FACEITClient,Jeux
7-Zip,7zip.7zip,Compression
WinRAR,RARLab.WinRAR,Compression
TeamViewer,TeamViewer.TeamViewer,Outils
AnyDesk,AnyDesk.AnyDesk,Outils
Termius,Termius.Termius,Outils
OpenVPN Connect,OpenVPNTechnologies.OpenVPNConnect,Outils
Quickshare,Quickshare,Outils
Nextcloud Client,Nextcloud.NextcloudDesktop,Outils
KeePassXC,KeePassXCTeam.KeePassXC,Outils
Bitwarden,Bitwarden.Bitwarden,Outils
Nextcloud Password,9NXVZ0ZP6D5Z,Outils
Visual Studio Code,Microsoft.VisualStudioCode,Développement
WinSCP,WinSCP.WinSCP,Développement
Notepad++,Notepad++.Notepad++,Développement
Git,Git.Git,Développement
